model_type,explainer,pair_id,step_label_A,step_label_B,n_train_A,n_train_B,n_eval,n_flagged,pr_auc_A,pr_auc_B,delta_perf,delta_Y,delta_X_wasserstein,delta_X_tv,n_subset,stoch_cos_A,stoch_cos_B,stoch_rbo_A,stoch_rbo_B,stoch_cos,stoch_rbo,stoch_n_runs,explainer_is_deterministic,explainer_stoch_max_abs,explainer_stoch_median_abs,shap_stochasticity,loc_cos,loc_rbo,base_cos_A,base_cos_B,base_rbo_A,base_rbo_B,global_rbo
mlp_plr,shap,0,2019-06,2019-10,201133,251534,150860,15086,0.16175974905490875,0.17803676426410675,0.016277015209197998,0.0026058290120655886,37.61806280321621,0.07289811626908956,200,0.0316585898399353,0.012010365724563599,0.1515790402996204,0.0854959197741095,0.0316585898399353,0.1515790402996204,5,False,,,,0.40429338812828064,0.8041299089873931,0.3090161234140396,0.20349517464637756,0.6481517040011509,0.6625228593660015,0.53785383094063
mlp_plr,lime,0,2019-06,2019-10,201133,251534,150860,15086,0.16175974905490875,0.17803676426410675,0.016277015209197998,0.0026058290120655886,37.61806280321621,0.07289811626908956,200,0.48220664262771606,0.4427877962589264,0.6963557663063251,0.7404273415578779,0.48220664262771606,0.7404273415578779,5,False,,,,0.6963935643434525,0.9407201985693976,0.6155223101377487,0.5548188537359238,0.8775136137225601,0.8764671336170407,
mlp_plr,shap,1,2019-09,2020-01,240927,284920,66283,6629,0.1961698830127716,0.2077905684709549,0.011620685458183289,0.006293356794844839,0.1129391703513347,0.04154785653006192,200,0.036043718457221985,0.009963765740394592,0.1860827201122607,0.060062290743386315,0.036043718457221985,0.1860827201122607,5,False,,,,0.43325115740299225,0.7759242639070763,0.29042866826057434,0.18590979278087616,0.6486545860652235,0.5153604802600613,0.5940899066912994
mlp_plr,lime,1,2019-09,2020-01,240927,284920,66283,6629,0.1961698830127716,0.2077905684709549,0.011620685458183289,0.006293356794844839,0.1129391703513347,0.04154785653006192,200,0.5865394622087479,0.3731398433446884,0.5958262945706182,0.5960250042265997,0.5865394622087479,0.5960250042265997,5,False,,,,0.7882091552019119,0.9719768049979299,0.6700092703104019,0.5209605693817139,0.6568321357471754,0.7465426237467283,
mlp_plr,shap,2,2019-12,2020-04,289776,217143,47393,4740,0.15799307823181152,0.15771837532520294,-0.00027470290660858154,0.006817060838143263,1.2928118269828879,0.030630046596974343,200,0.5502936094999313,0.7119347751140594,0.4531393409487119,0.4602559378275666,0.7119347751140594,0.4602559378275666,5,False,,,,0.8000021427869797,0.5455707940411298,0.6795153319835663,0.7741732746362686,0.5186925826808397,0.48505759398428505,0.04144681387389404
mlp_plr,lime,2,2019-12,2020-04,289776,217143,47393,4740,0.15799307823181152,0.15771837532520294,-0.00027470290660858154,0.006817060838143263,1.2928118269828879,0.030630046596974343,200,0.4004508703947067,0.4216308295726776,0.483196258739006,0.6572292676896805,0.4216308295726776,0.6572292676896805,5,False,,,,0.6296385377645493,0.9033912584753224,0.5105215609073639,0.5658576935529709,0.8459355389236698,0.818201998970866,
mlp_plr,shap,3,2020-03,2020-07,256899,113676,55519,5552,0.15730242431163788,0.15934975445270538,0.002047330141067505,0.00337993485495372,526.3032018620834,0.06688968160182643,200,0.5919182896614075,0.008266359567642212,0.4409403313046827,0.04795510829906699,0.5919182896614075,0.4409403313046827,5,False,,,,0.6706047654151917,0.8845810400583848,0.6997027397155762,0.20745797455310822,0.5240806865644021,0.4891296768400004,0.9449203290548476
mlp_plr,lime,3,2020-03,2020-07,256899,113676,55519,5552,0.15730242431163788,0.15934975445270538,0.002047330141067505,0.00337993485495372,526.3032018620834,0.06688968160182643,200,0.383733868598938,0.38087204098701477,0.5720945498935202,0.5856924924599789,0.383733868598938,0.5856924924599789,5,False,,,,0.6904691457748413,0.8526801428773436,0.5599900037050247,0.6103103309869766,0.7900605047028979,0.7708597724728692,
